"PROVINCE","CURR_CONF","TOT_CONF","TOT_RECOV","TOT_DEATH","HOSP"
"AH",0,990,984,6,271
"BJ",115,426,303,8,90
"CQ",50,576,520,6,104
"FJ",11,296,284,1,765
"GD",112,1352,1233,7,886
"GS",31,120,87,2,99
"GX",31,252,219,2,48
"GZ",29,146,115,2,1143
"HA",7,1272,1243,22,508
"HB",21239,67666,43468,2959,678
"HE",7,318,305,6,394
"HI",4,168,158,6,317
"HK",NA,104,46,2,56
"HL",66,481,402,13,493
"HN",55,1018,959,4,325
"JL",2,93,90,1,133
"JS",30,631,601,0,769
"JX",18,935,916,1,307
"LN",18,125,106,1,228
"MO",NA,10,9,0,3
"NM",9,75,65,1,312
"NX",4,75,71,0,73
"QH",0,18,18,0,85
"SC",88,539,448,3,1910
"SD",126,758,626,6,541
"SH",26,342,313,3,29
"SN",18,245,226,1,354
"SX",7,133,126,0,205
"TJ",5,136,128,3,27
"TW",NA,44,12,1,75
"XJ",2,76,71,3,178
"XZ",0,1,1,0,8
"YN",2,174,170,2,350
"ZJ",53,1215,1161,1,323
